seed_title,onet_code,onet_name
Fire Protection Engineer (FP Engineer),17-2111.02,Fire-Prevention and Protection Engineers
Dog Obedience Instructor,39-2011.00,Animal Trainers
Camera Operator,27-4031.00,"Camera Operators, Television, Video, and Film"
Photogrammetrist,17-1021.00,Cartographers and Photogrammetrists
Fire Inspector,33-2021.00,Fire Inspectors and Investigators
Diamond Sawer,51-9071.06,Gem and Diamond Workers
Insulation Estimator,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
Credit Products Officer,13-2051.00,Financial and Investment Analysts
Certified Surgical Assistant (CSA),29-9093.00,Surgical Assistants
Paralegal,23-2011.00,Paralegals and Legal Assistants
Rancher,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
Gaming Manager,11-9071.00,Gambling Managers
Boilermaker Pipe Fitter,47-2011.00,Boilermakers
Baker,51-3011.00,Bakers
Radio Talk Show Host,27-3023.00,"News Analysts, Reporters, and Journalists"
Luthier,49-9063.00,Musical Instrument Repairers and Tuners
Offbearer,53-7063.00,Machine Feeders and Offbearers
Intelligence Research Specialist,33-3021.06,Intelligence Analysts
Diet Assistant,29-2051.00,Dietetic Technicians
Industrial Hygiene Engineer,19-5012.00,Occupational Health and Safety Technicians
Process Controls Engineer,17-2199.05,Mechatronics Engineers
Order Fulfillment Specialist,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
Quality Control Supervisor (QC Supervisor),11-3051.01,Quality Control Systems Managers
County Records Management Officer (County RMO),19-3093.00,Historians
Heat Treat Furnace Operator,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
Quantitative Strategy Analyst,13-2099.01,Financial Quantitative Analysts
Pipeline Dispatch Operator,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
Finance Tutor,25-3041.00,Tutors
Spanish Teacher,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
Rehabilitation Counselor,21-1015.00,Rehabilitation Counselors
Dimensional Integration Engineer,17-2141.02,Automotive Engineers
Records and Information Management Specialist (RIM Specialist),15-1299.03,Document Management Specialists
Electrician Helper,47-3013.00,Helpers--Electricians
MHA (Mental Health Assistant),29-2053.00,Psychiatric Technicians
Training Director,11-3131.00,Training and Development Managers
Per Diem Physical Therapist Assistant (Per Diem PTA),31-2021.00,Physical Therapist Assistants
Corporate Security Manager,11-3013.01,Security Managers
Payroll Specialist,43-3051.00,Payroll and Timekeeping Clerks
Building Scientist,47-4011.01,Energy Auditors
Furniture Upholsterer,51-6093.00,Upholsterers
Christmas Tree Farmer,45-4011.00,Forest and Conservation Workers
Automotive Artist,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
Dietary Supervisor,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
Municipal Clerk,43-4031.00,"Court, Municipal, and License Clerks"
Tool Technician,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
Hotel Services Supervisor,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
Sales Manager,11-2022.00,Sales Managers
Tread Builder Operator,51-9197.00,Tire Builders
Exhibitions Curator,25-4012.00,Curators
Film Archivist,25-4011.00,Archivists
Cotton Tipper,53-7063.00,Machine Feeders and Offbearers
Patient Care Technician (PCT),31-1132.00,Orderlies
Timber Marker,19-1032.00,Foresters
Driver Salesman,53-3031.00,Driver/Sales Workers
Conference Planner,13-1121.00,"Meeting, Convention, and Event Planners"
Trolley Operator,53-4041.00,Subway and Streetcar Operators
Guest Relations Manager,11-9081.00,Lodging Managers
Bore Mill Operator,51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Ticket Writer,33-3041.00,Parking Enforcement Workers
Community Nutrition Educator,21-1094.00,Community Health Workers
Biology Instructor,25-1042.00,"Biological Science Teachers, Postsecondary"
Curator,25-4012.00,Curators
Technology Education Teacher,25-2032.00,"Career/Technical Education Teachers, Secondary School"
OBGYN (Obstetrician and Gynecologist),29-1218.00,Obstetricians and Gynecologists
Internist,29-1216.00,General Internal Medicine Physicians
Side Puller,51-3023.00,Slaughterers and Meat Packers
Lobby Concierge,39-6012.00,Concierges
Marine Technician,49-3051.00,Motorboat Mechanics and Service Technicians
Executive Vice President (EVP),11-1011.00,Chief Executives
Technical Designer,51-6092.00,Fabric and Apparel Patternmakers
Guide Dog Trainer,39-2011.00,Animal Trainers
Interior Design Coordinator,27-1025.00,Interior Designers
Commercial Sheet Metal Service Installer,47-2211.00,Sheet Metal Workers
Fleet Mechanic,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
Wildlife Refuge Specialist,19-1023.00,Zoologists and Wildlife Biologists
Pipelayer,47-2151.00,Pipelayers
Fitness and Wellness Director,11-9179.01,Fitness and Wellness Coordinators
Clinical Microbiologist,19-1022.00,Microbiologists
Transportation Engineering Technician,17-3022.00,Civil Engineering Technologists and Technicians
Certified Financial Planner (CFP),13-2052.00,Personal Financial Advisors
Organizational Development Specialist (OD Specialist),19-3032.00,Industrial-Organizational Psychologists
Brownfield Program Manager,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
Glass Decorator,51-9123.00,"Painting, Coating, and Decorating Workers"
Clothing Pattern Designer,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Breakfast Cook,35-2014.00,"Cooks, Restaurant"
Public Administration Professor,25-1065.00,"Political Science Teachers, Postsecondary"
Remote Encoding Center Manager,11-9131.00,Postmasters and Mail Superintendents
City Mail Carrier,43-5052.00,Postal Service Mail Carriers
Syrup Maker,51-3092.00,Food Batchmakers
Audio Technician,27-4011.00,Audio and Video Technicians
Call Agent,41-9041.00,Telemarketers
Land Management Supervisor,19-1031.02,Range Managers
Clinical Data Management Director (CDM Director),15-2051.02,Clinical Data Managers
Repairman,49-9061.00,Camera and Photographic Equipment Repairers
Residential Plumber,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
Traffic Survey Technician,53-6041.00,Traffic Technicians
Ticket Taker,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
Wind Energy Consultant,17-2199.10,Wind Energy Engineers
Author,27-3043.05,"Poets, Lyricists and Creative Writers"
Research Epidemiologist,19-1041.00,Epidemiologists
Inventory Technician (Inventory Tech),53-7065.00,Stockers and Order Fillers
Patient Service Representative,29-2099.08,Patient Representatives
Pool Lifeguard,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
Foster Care Social Worker,21-1021.00,"Child, Family, and School Social Workers"
Audiology Doctor (AUD),29-1181.00,Audiologists
Adapted Physical Activity Specialist,25-2059.01,Adapted Physical Education Specialists
Fireman,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
Health Actuary,15-2011.00,Actuaries
Zoo Veterinarian (Zoo Vet),29-1131.00,Veterinarians
General Neurologist,29-1217.00,Neurologists
Geologist,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
Physics Professor,25-1054.00,"Physics Teachers, Postsecondary"
Process Development Associate,51-8091.00,Chemical Plant and System Operators
Shoe Cutter,51-6041.00,Shoe and Leather Workers and Repairers
Industrial Safety Engineer,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
Pizza Delivery Driver,53-3031.00,Driver/Sales Workers
Computer Typesetter,43-9031.00,Desktop Publishers
Logistics Management Analyst,13-1081.02,Logistics Analysts
Natural Resource Educator,19-1031.03,Park Naturalists
Hearing Instrument Specialist (HIS),29-2092.00,Hearing Aid Specialists
Tile Mason,47-2044.00,Tile and Stone Setters
Research Assistant (RA),25-9044.00,"Teaching Assistants, Postsecondary"
Mobile Electronics Installer,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
Airport Operations Agent,53-2022.00,Airfield Operations Specialists
Back End Developer,15-1252.00,Software Developers
Training and Development Coordinator,11-3131.00,Training and Development Managers
Athletic Instructor,29-9091.00,Athletic Trainers
Sewing Line Baler,53-7063.00,Machine Feeders and Offbearers
Learning and Development Consultant,13-1151.00,Training and Development Specialists
Math Teacher,25-1022.00,"Mathematical Science Teachers, Postsecondary"
Electrical Drafter,17-3012.00,Electrical and Electronics Drafters
Electric System Operator,51-8012.00,Power Distributors and Dispatchers
Family Protection Specialist,21-1021.00,"Child, Family, and School Social Workers"
Medical Secretary,43-6013.00,Medical Secretaries and Administrative Assistants
Operating Room Technologist (OR Tech),29-2055.00,Surgical Technologists
Materials Manager,11-3061.00,Purchasing Managers
Nuclear Supervising Operator (NSO),51-8011.00,Nuclear Power Reactor Operators
Precision Agronomist,19-4012.01,Precision Agriculture Technicians
Registered Ophthalmic Ultrasound Biometrist (ROUB),29-2099.05,Ophthalmic Medical Technologists
Real Estate Manager,11-9141.00,"Property, Real Estate, and Community Association Managers"
Fence Laborer,47-4031.00,Fence Erectors
Nuclear Station Operator (NSO),51-8011.00,Nuclear Power Reactor Operators
Layout Designer,17-3012.00,Electrical and Electronics Drafters
Towboat Engineer,53-5031.00,Ship Engineers
Hand Winder,51-2021.00,"Coil Winders, Tapers, and Finishers"
Geothermal Service Technician,49-9099.01,Geothermal Technicians
Examining Officer,13-2061.00,Financial Examiners
Water Taxi Business Operator,53-5022.00,Motorboat Operators
Acquisitions Assistant,43-4121.00,"Library Assistants, Clerical"
Naturopathic Medicine Doctor,29-1299.01,Naturopathic Physicians
Elevator Installer,47-4021.00,Elevator and Escalator Installers and Repairers
Speech-Language Pathology Assistant (SLPA),31-9099.01,Speech-Language Pathology Assistants
Bank Secrecy Act Anti-Money Laundering Officer (BSA/AML Officer),13-2061.00,Financial Examiners
Electronic Publishing Specialist,43-9031.00,Desktop Publishers
Sew On Operator,51-6031.00,Sewing Machine Operators
Intensive Care Unit Registered Nurse (ICU RN),29-1141.03,Critical Care Nurses
Poet,27-3043.05,"Poets, Lyricists and Creative Writers"
Atmospheric Sciences Professor,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Closing Machine Operator,51-9111.00,Packaging and Filling Machine Operators and Tenders
Derrick Worker,47-5011.00,"Derrick Operators, Oil and Gas"
Ultrasound Technician (Ultrasound Tech),29-2032.00,Diagnostic Medical Sonographers
Personal Care Attendant (PCA),31-1122.00,Personal Care Aides
Production Supervisor,51-1011.00,First-Line Supervisors of Production and Operating Workers
Grain Buyer,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
Research Meteorologist,19-2021.00,Atmospheric and Space Scientists
Wire Mill Rover,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
Mathematician,15-2021.00,Mathematicians
Pastor,21-2011.00,Clergy
Commercial Pest Control Technician,37-2021.00,Pest Control Workers
Compliance Specialist,13-1041.07,Regulatory Affairs Specialists
Ethnic Studies Professor,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Full-Stack Developer,15-1252.00,Software Developers
Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
Emergency Manager,11-9161.00,Emergency Management Directors
Lobby Attendant,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
Recreation Supervisor,39-9032.00,Recreation Workers
Machine Technician,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Criminal Research Specialist,33-3021.06,Intelligence Analysts
Plant Electrical Technician,49-9099.01,Geothermal Technicians
Booth Cashier,41-2012.00,Gambling Change Persons and Booth Cashiers
Derrick Hand,47-5011.00,"Derrick Operators, Oil and Gas"
Sports Complex Attendant,39-3091.00,Amusement and Recreation Attendants
Clinical Research Coordinator,11-9121.01,Clinical Research Coordinators
Couturier,51-6051.00,"Sewers, Hand"
Fish Processor,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
Registered Pharmacist,29-1051.00,Pharmacists
Renal Social Worker,21-1022.00,Healthcare Social Workers
Timber Sales Administrator (Timber Sales Admin),19-1032.00,Foresters
Pattern Repair Person,51-4062.00,"Patternmakers, Metal and Plastic"
Residence Hall Director,39-9041.00,Residential Advisors
Purser,53-2031.00,Flight Attendants
Rolling Mill Operator,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
Loss Prevention Specialist,33-9099.02,Retail Loss Prevention Specialists
Banking Services Representative,43-4141.00,New Accounts Clerks
Inclusion Teacher,25-2057.00,"Special Education Teachers, Middle School"
Delivery Crew Worker,49-9095.00,Manufactured Building and Mobile Home Installers
Exterior Interior Specialist,47-2081.00,Drywall and Ceiling Tile Installers
Public Health Physician,29-1229.05,Preventive Medicine Physicians
Wildland Firefighter,33-2011.00,Firefighters
Maintenance Helper,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
Sound Engineer,27-4014.00,Sound Engineering Technicians
Driver Medic,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
Administrative Technician,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Account Clerk,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
Ocean Lifeguard Specialist,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
Commercial Lines Manager,11-2021.00,Marketing Managers
Launch Operator,53-5022.00,Motorboat Operators
Speech-Language Pathologists Assistant (SLPA),31-9099.01,Speech-Language Pathology Assistants
Biomedical Technician,17-2031.00,Bioengineers and Biomedical Engineers
Logging Equipment Operator,45-4022.00,Logging Equipment Operators
Weatherization and Housing Inspector,47-4099.03,Weatherization Installers and Technicians
Closer,43-4131.00,Loan Interviewers and Clerks
Adult Basic Education Teacher (ABE Teacher),25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
Pit Manager,11-9071.00,Gambling Managers
Broil Cook,35-2014.00,"Cooks, Restaurant"
Accredited Pharmacy Technician,29-2052.00,Pharmacy Technicians
Ship Pilot,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
Combined Rail Operator,53-4041.00,Subway and Streetcar Operators
Spanish Instructor,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
Wind Farm Support Specialist,49-9081.00,Wind Turbine Service Technicians
Skidder Operator,45-4022.00,Logging Equipment Operators
Fitness Trainer,39-9031.00,Exercise Trainers and Group Fitness Instructors
Doorman,39-6011.00,Baggage Porters and Bellhops
Recreational Therapy Program Coordinator,29-1125.00,Recreational Therapists
News Producer,27-2012.00,Producers and Directors
Traffic Assistant,43-5071.00,"Shipping, Receiving, and Inventory Clerks"
Compliance Operations Manager,11-9199.02,Compliance Managers
Tree Feller,45-4021.00,Fallers
Facilities Worker,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Artificial Insemination Technician (AI Technician),45-2021.00,Animal Breeders
Wildfire Mitigation Specialist,33-2022.00,Forest Fire Inspectors and Prevention Specialists
Grounds Specialist,37-3011.00,Landscaping and Groundskeeping Workers
Automobile and Property Underwriter,13-2053.00,Insurance Underwriters
License Clerk,43-4031.00,"Court, Municipal, and License Clerks"
Development Mechanic,51-4192.00,"Layout Workers, Metal and Plastic"
Veterinary Surgical Specialist (Vet Surgical Specialist),29-1131.00,Veterinarians
Sample Cutter,51-9031.00,"Cutters and Trimmers, Hand"
Arboriculture Researcher,19-1013.00,Soil and Plant Scientists
Environmental Field Technician,17-3025.00,Environmental Engineering Technologists and Technicians
Global Transportation Manager,11-3071.00,"Transportation, Storage, and Distribution Managers"
Hot Repairman,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
Field Engineer,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
Biomedical Electronics Technician (Biomed Electronics Tech),49-9062.00,Medical Equipment Repairers
Line Closer,51-6031.00,Sewing Machine Operators
Windshield Installer,49-3022.00,Automotive Glass Installers and Repairers
Glass Technician (Glass Tech),47-2121.00,Glaziers
Litigation Paralegal,23-2011.00,Paralegals and Legal Assistants
Ship Rigger,49-9096.00,Riggers
Speech Paraeducator,31-9099.01,Speech-Language Pathology Assistants
Metal Pattern Maker,51-4062.00,"Patternmakers, Metal and Plastic"
Instrumentation and Process Controls Technician,17-3024.01,Robotics Technicians
Business Law Professor,25-1112.00,"Law Teachers, Postsecondary"
Project Development Leader,11-9199.10,Wind Energy Development Managers
Medication Aide,31-1122.00,Personal Care Aides
Funeral Home Attendant,39-4021.00,Funeral Attendants
Forestry Patrolman,33-2022.00,Forest Fire Inspectors and Prevention Specialists
Outpatient Physical Therapist Assistant,31-2021.00,Physical Therapist Assistants
Sales Professional,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
Substance Abuse Counselor,21-1023.00,Mental Health and Substance Abuse Social Workers
Automotive Detailer (Auto Detailer),53-7061.00,Cleaners of Vehicles and Equipment
Vocational Case Manager,21-1015.00,Rehabilitation Counselors
Mapper,17-1021.00,Cartographers and Photogrammetrists
Heavy Truck Mechanic,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists
Natural Resource Officer,33-3031.00,Fish and Game Wardens
Rig Hand,47-5071.00,"Roustabouts, Oil and Gas"
Machine Operator (Machine Op),51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
Federal Mediator,23-1022.00,"Arbitrators, Mediators, and Conciliators"
Route Specialist,43-5011.01,Freight Forwarders
Electrical Design Engineer,17-2071.00,Electrical Engineers
Micro Electrical/Mechanical Systems Device Scientist (MEMS Device Scientist),19-2032.00,Materials Scientists
Narrative Writer,27-3042.00,Technical Writers
Chemical Lab Scientist (Chemical Laboratory Scientist),19-2031.00,Chemists
Resource Economist,19-3011.01,Environmental Economists
Elevator Mechanic,47-4021.00,Elevator and Escalator Installers and Repairers
Economic Analyst,19-3011.00,Economists
Tire Shop Mechanic,49-3093.00,Tire Repairers and Changers
Computer Science Professor,25-1021.00,"Computer Science Teachers, Postsecondary"
Energy and Building Systems Specialist,47-4011.01,Energy Auditors
Certified Personal Chef (CPC),35-2013.00,"Cooks, Private Household"
Digital Marketing Strategist,13-1161.01,Search Marketing Strategists
Pharmacist in Charge (PIC),29-1051.00,Pharmacists
Manufacturing Engineering Technician (Manufacturing Engineering Tech),17-3027.00,Mechanical Engineering Technologists and Technicians
Wind Operations Supervisor,11-9199.09,Wind Energy Operations Managers
Research Aide,19-4061.00,Social Science Research Assistants
Database Administration Manager,15-1242.00,Database Administrators
Hardwood Floor Sander,47-2043.00,Floor Sanders and Finishers
Roustabout Hand,47-5071.00,"Roustabouts, Oil and Gas"
Signalman,49-9097.00,Signal and Track Switch Repairers
Commercial Title Examiner,23-2093.00,"Title Examiners, Abstractors, and Searchers"
Shuttle Driver,53-3053.00,Shuttle Drivers and Chauffeurs
Technical Writer,27-3042.00,Technical Writers
Assembly Worker,51-2092.00,Team Assemblers
Appliance Service Technician,49-9031.00,Home Appliance Repairers
Field Ironworker,47-2171.00,Reinforcing Iron and Rebar Workers
Chemical Engineer,17-2041.00,Chemical Engineers
Lineman,49-9052.00,Telecommunications Line Installers and Repairers
Vocational Rehabilitation Counselor (VRC),21-1015.00,Rehabilitation Counselors
Arc and Argon Oxygen Decarburization Melter (ARC and AOD Melter),51-4051.00,Metal-Refining Furnace Operators and Tenders
Delivery Driver,53-3033.00,Light Truck Drivers
Materials Planner,43-5061.00,"Production, Planning, and Expediting Clerks"
Casino Dealer,39-3011.00,Gambling Dealers
Interior Designer,27-1025.00,Interior Designers
Sealer Sander,51-7021.00,Furniture Finishers
Transportation Data Programs Manager,19-3099.01,Transportation Planners
County Judge,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
EMS Helicopter Pilot (Emergency Medical Service Helicopter Pilot),53-2012.00,Commercial Pilots
Third Step Lineman,49-9051.00,Electrical Power-Line Installers and Repairers
Wind Plant Operations Manager,11-9199.09,Wind Energy Operations Managers
Credit Risk Analyst,13-2041.00,Credit Analysts
Drafting Technician (Drafting Tech),17-3012.00,Electrical and Electronics Drafters
Reservations and Ticketing Agent,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
International Flight Attendant,53-2031.00,Flight Attendants
Two-Way Radio Technician (Two-Way Radio Tech),49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
Parts Salesman,41-2022.00,Parts Salespersons
Art Supervisor,27-1011.00,Art Directors
Shipping Supervisor,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
Instrumentation and Electrical Reliability Engineer (I&E Reliability Engineer),17-2071.00,Electrical Engineers
Cardiology Technician,29-2031.00,Cardiovascular Technologists and Technicians
Certified Consumer Credit and Housing Counselor,13-2071.00,Credit Counselors
Staff Services Manager,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
Registered Massage Therapist (RMT),31-9011.00,Massage Therapists
Tow Motor Operator,53-7051.00,Industrial Truck and Tractor Operators
Track and Field Coach,27-2022.00,Coaches and Scouts
Chambermaid,37-2012.00,Maids and Housekeeping Cleaners
Hub Associate,43-4151.00,Order Clerks
License Examiner,13-1041.00,Compliance Officers
Heavy Equipment Supervisor,53-1042.01,Recycling Coordinators
Refrigeration Technician (Refrigeration Tech),49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
Power Lineman Technician,49-9051.00,Electrical Power-Line Installers and Repairers
Wall Covering Installer,47-2142.00,Paperhangers
Staff Radiation Therapist,29-1124.00,Radiation Therapists
Psychiatrist,29-1223.00,Psychiatrists
Projectionist,39-3021.00,Motion Picture Projectionists
Title Examiner,23-2093.00,"Title Examiners, Abstractors, and Searchers"
Agricultural Extension Educator,25-9021.00,Farm and Home Management Educators
Control Valve Mechanic,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
Bell Person,39-6011.00,Baggage Porters and Bellhops
Certified Master Safecracker (CMS),49-9094.00,Locksmiths and Safe Repairers
Caddymaster,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
Nuclear Auxiliary Operator,19-4051.00,Nuclear Technicians
Circuits Engineer,17-2071.00,Electrical Engineers
Prearranged Funerals Sales Manager,11-9171.00,Funeral Home Managers
Deputy Court Services Sheriff,33-3011.00,Bailiffs
Fire Code Inspector,33-2021.00,Fire Inspectors and Investigators
Knitter,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
Criminal Justice Instructor,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Erosion Control Specialist,19-1031.00,Conservation Scientists
Wind Turbine Operator,49-9081.00,Wind Turbine Service Technicians
Blending Technician (Blending Tech),51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
Nutritionist,29-1031.00,Dietitians and Nutritionists
Machine Mechanic,49-9041.00,Industrial Machinery Mechanics
Registered Account Administrator,43-4011.00,Brokerage Clerks
Certified Direct-Entry Midwife,29-9099.01,Midwives
Funeral Attendant,39-4021.00,Funeral Attendants
Tile Finisher,47-2044.00,Tile and Stone Setters
Consumer Safety Inspector (CSI),45-2011.00,Agricultural Inspectors
Pharmacology Professor,25-1071.00,"Health Specialties Teachers, Postsecondary"
Loan Originator,43-4131.00,Loan Interviewers and Clerks
Accounts Payable Specialist,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
Licensed and Certified Midwife,29-9099.01,Midwives
Sustainability Advisor,13-1199.05,Sustainability Specialists
Lifestyle and Weight Management Consultant,29-1128.00,Exercise Physiologists
